,Yield curve library,,,,,,
,,,,,,,
,In the following columns enter a label and values to represent yield curves.  The name that you enter will be refered to as the 'Curve ID' on the strata worksheets.   Leave the label field blank to ignore a colunm.  ,,,,,,
,,,,,,,
,Yield Curves,,,,,,
Age,zero,age,le10,lt20,gt60,lt80,gt250
-1000,,-1000,,,,,
0,0,,,,,,
1,,,,,,,
9,,,,,,,
10,,,1,,,,
11,,,0,,,,
19,,,,1,,,
20,,,,0,,,
21,,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
60,,,,,0,,
61,,,,,1,,
79,,,,,,1,
80,,,,,,0,
81,,,,,,,
100,,,,,,,
101,,,,,,,
120,,,,,,,
121,,,,,,,
139,,,,,,,
140,,,,,,,
141,,,,,,,
250,,,,,,,0
251,,,,,,,1
1000,,1000,,,,,
