,,Curve or Expression,,Feature Name,Factor,Cycle,Ignore,Output,Scale
,,,,,1,True,False,True,A
,,,,,1,True,False,True,A
,,,,,1,True,False,True,A
,,,,,1,True,False,True,A
,,,,,1,True,False,True,A
,,,,,1,True,False,True,A
,,,,,1,True,False,True,A
,,,,,1,True,False,True,A
,,,,,1,True,False,True,A
,,,,,1,True,False,True,A
,,,,,1,True,False,True,A
,,,,,1,True,False,True,A
,,,,,1,True,False,True,A
,,,,,1,True,False,True,A
,,,,,1,True,False,True,A
,,,,,1,True,False,True,A
,,,,,1,True,False,True,A
,,,,,1,True,False,True,A
,,,,,1,True,False,True,A
,,,,,1,True,False,True,A
,,,,,1,True,False,True,A
,,,,,1,True,False,True,A
,,,,,1,True,False,True,A
,,,,,1,True,False,True,A
,,,,,1,True,False,True,A
,,,,,1,True,False,True,A
,,,,,1,True,False,True,A
,,,,,1,True,False,True,A
,,,,,1,True,False,True,A
,,,,,1,True,False,True,A
,,,,,1,True,False,True,A
,,,,,1,True,False,True,A
,,,,,1,True,False,True,A
,,,,,1,True,False,True,A
,,,,,1,True,False,True,A
,,,,,1,True,False,True,A
,,,,,1,True,False,True,A
,,,,,1,True,False,True,A
,,,,,1,True,False,True,A
,,,,,1,True,False,True,A
,,,,,1,True,False,True,A
,,,,,1,True,False,True,A
,,,,,1,True,False,True,A
