,,,,status,,,,Netdown
status in managed and oper in operable,,,,unmanaged,,,,0.1
status in managed and oper in lowoper,,,,unmanaged,,,,0.2
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
,,,,,,,,0.07
